,Time,energy,state-1,state-2
83,83,1.0542,(0.007122588026446361-0.005957679976032953j),(-0.474656072211493+0.8801237042167006j)
84,84,1.0458,(0.0070450596164251264+0.0055574788074165245j),(0.8907417438425121+0.4544238601908436j)
85,85,0.9574,(-0.003090715261362611+0.005955615801365893j),(0.4989642099478169-0.8665977709804218j)
86,86,0.9496,(-0.0027665376972376473-0.0037134345249483555j),(-0.7984581066576423-0.6020337378114539j)
87,87,0.9483,(0.002601934211778129-0.0015808989335955859j),(-0.7008429669256776+0.7133096434366172j)
88,88,0.9422,(-0.000537318714474826+0.003339906316606269j),(0.6115805964374985+0.7911749866696358j)
89,89,0.8669,(-0.0033178064350464194-0.0006584687815357266j),(0.8960077307484956-0.44402460972339247j)
90,90,0.8615,(0.0011547543717969795-0.0030567584482409788j),(-0.1995758621091957-0.979876137645332j)
91,91,0.8539,(0.0026287568135423857+0.0018235246100273708j),(-0.9976759247838859-0.06805066770129417j)
92,92,0.8535,(-0.002874899393500396+0.002151092747254153j),(-0.3364995359123049+0.9416762771361201j)
93,93,0.8545,(-0.0017171481280616777-0.003371429644452291j),(0.8151276350471567+0.579269244186164j)
94,94,0.8444,(0.0035975885256701095-0.0009438335968464361j),(0.7829417291585646-0.6220852264493418j)
95,95,0.765,(-0.00047128522730342185+0.003678897664030047j),(-0.31635255463007866-0.9486359058814331j)
96,96,0.748,(-0.003140038247934973-0.0019551968593945752j),(-0.9949239187964385-0.10057658549420964j)
97,97,0.7224,(0.0034202083563214195-0.0019153298068956446j),(-0.5275464968655605+0.8495179198351179j)
98,98,0.7186,(0.00039705932474894703+0.003833867760233203j),(0.5122624941373783+0.8588197833210376j)
99,99,0.7249,(-0.003864265091800673-0.0019284239212232284j),(0.998039596196535-0.062421715299098526j)
100,100,0.0,0j,0j
101,1,1.3506,0j,(1+0j)
102,2,1.3515,(-0.0036237275440106995-0.0003240863894160183j),(-0.4615731798933156-0.8870951828983296j)
103,3,1.4259,(0.0015471107792376926-0.0026453410321256006j),(-0.5261501293113311+0.8503880798684987j)
104,4,1.3531,(0.004673808012642197+0.00031020589799168343j),(0.9998630344093034+0.01600437910843223j)
105,5,1.4065,(0.0018538151578203902+0.004730148377179658j),(-0.4859300684603448-0.8739848774304297j)
106,6,1.3847,(-0.003768545739327462+0.003214521788837439j),(-0.493403394197089+0.8697871756309337j)
107,7,1.3648,(-0.005406572227673821-0.004735447270370203j),(0.9999741785164787+0.0002924411953505717j)
108,8,1.4259,(0.00014199324902309794-0.007711277298319516j),(-0.5199142151714804-0.8541844565737461j)
109,9,1.4173,(0.00718488070581032-0.0039616273573121j),(-0.42338624610113196+0.9059140849740394j)
110,10,1.4222,(0.006140341331931592+0.0029600459039481036j),(0.9892165468241403-0.14631624450444194j)
111,11,1.4403,(-0.0010457742306678502+0.0067427297356443695j),(-0.6804034184577037-0.73280776867794j)
112,12,1.3852,(-0.006637124014291747+0.0019412036122747377j),(-0.2465275228006543+0.9691113706562118j)
113,13,1.4783,(-0.005017130143012156-0.005094140873773742j),(0.938242973144561-0.34590452977863506j)
114,14,1.5003,(0.0014367932634846033-0.007176861821484516j),(-0.8638061088024073-0.5037746187610873j)
115,15,1.5211,(0.005258990404027049-0.0017265435997716706j),(0.19288588782023752+0.9812078763321253j)
116,16,1.5093,(0.003097373686922376+0.004800948998473563j),(0.6034356457498802-0.797392627967491j)
117,17,1.4862,(-0.00411562822248531+0.005226579035506045j),(-0.9984896050196947+0.05454264031910547j)
118,18,1.4573,(-0.0090245976131209+0.001647435650982449j),(0.657491933571956+0.7534071383707112j)
119,19,1.4280000000000002,(-0.007880456827923888-0.004213239642381885j),(0.2323416567947288-0.9725952711256796j)
120,20,1.3939,(-0.0014122802395926523-0.00607137348893426j),(-0.9440118785943991+0.32985841253488674j)
121,21,1.4451,(0.004162949921627909-0.005548404058374608j),(0.7954901694325275+0.6059284278332991j)
122,22,1.4263,(0.00861663110998616-0.00239556775370085j),(0.04270263412060563-0.9990479778107362j)
123,23,1.4075,(0.007692722197245377+0.002034134288020199j),(-0.8592250294391757+0.5115371874758041j)
124,24,1.3884,(0.004014380868769148+0.005492426460143828j),(0.8856458672960519+0.4643150180462339j)
125,25,1.3787,(-0.0022290909343239307+0.006383908782240706j),(-0.04617990507530474-0.998912372864917j)
126,26,1.3641,(-0.005901193301613475+0.003104330671447819j),(-0.8489161188225381+0.5284885048715912j)
127,27,1.3559,(-0.006082165389228025-0.0011754718298108912j),(0.8674935437904555+0.49741106491786763j)
128,28,1.3437,(-0.0039023644735617776-0.0038051222573761987j),(0.04274796351789861-0.9990710640234698j)
129,29,1.3395,(0.0025460371436791204-0.0023992004515274476j),(-0.9120005225248644+0.4101749378277411j)
130,30,1.3485,(0.005864972474393481-0.004027149634864866j),(0.7781512903368248+0.628038525363876j)
131,31,1.2922,(0.007860282202673635-0.0011489840054149155j),(0.24342772311685718-0.969888407483805j)
132,32,1.327,(0.006338949077383958+0.0020807434845534255j),(-0.9853949701710895+0.17016533952905616j)
133,33,1.2789,(0.001425154471608054+0.006421246259939308j),(0.5461031602894904+0.837693797670666j)
134,34,1.2948,(0.00020665409217763493+0.004169650154733352j),(0.5734447531001308-0.8192344292306709j)
135,35,1.3086,(-0.0020654570215122747-0.007589975825888763j),(-0.9788672608737331-0.20434570453706405j)
136,36,1.2589,(-0.0036498162731576946-0.0025107453904851936j),(0.1710512293985115+0.9852521129187427j)
137,37,1.1962,(0.0015635698937445978+0.0030946761109828516j),(0.8941793983871331-0.4476958453665286j)
138,38,1.1886,(-0.0016942170173248577+0.0014958136555963503j),(-0.646625970788417-0.7628047136184858j)
139,39,1.1042,(-0.0015120189647327836-0.0019238600193968373j),(-0.6431105516006266+0.7657706089416307j)
140,40,1.0286,(0.002110518514641279-0.001312293444099162j),(0.7955482519919853+0.6058866434564341j)
141,41,0.9531,(0.0008033510567336951+0.0023537991906846284j),(0.6577832301126532-0.7532040689391453j)
142,42,0.8778,(-0.00256386175861292+4.1601770102267895e-06j),(-0.6221525965420718-0.7828919717620879j)
143,43,0.8855,(0.0008884405793815649-0.002488393110453158j),(-0.9052483634180526+0.42487368455831936j)
144,44,0.7961,(0.002436446757616403+0.0013888803979384696j),(0.14358558853327377+0.9896330296422269j)
145,45,0.7718,(-0.0018556192772093015+0.0011237368078378489j),(0.9720688350596249+0.23468228169253788j)
146,46,0.7487,(-0.00018362273320115456-0.002190659149662858j),(0.6082363319728944-0.7937528508886197j)
147,47,0.6751,(0.002055110609966087+0.0008309367117037524j),(-0.41376919599094203-0.9103802760477399j)
148,48,0.6746,(-0.0015998627951146476+0.0015137833841833992j),(-0.9928135432717573-0.11966371920941951j)
149,49,0.6722,(-0.00010859606131121178-0.001864121124373206j),(-0.6199635235731533+0.784629169758317j)
150,50,0.6789,(0.0017857728492317517+0.0011235725079815617j),(0.34911001280781334+0.9370786738171277j)
151,51,0.6952,(-0.002139791536900123+0.0009518504633793646j),(0.9853443535641648+0.1705555567093207j)
152,52,0.7112,(5.796321383837204e-05-0.002557827439603602j),(0.6248153830436095-0.7807683212380502j)
153,53,0.7185,(0.0020978025026927674+0.001222144671483408j),(-0.3986736541028697-0.9170908915554177j)
154,54,0.7846,(-0.0017999280349047528+0.001466071677661546j),(-0.999798760700151-0.020008155269564416j)
155,55,0.7749,(-0.000772155713162698-0.0018764711923440656j),(-0.39617454455423157+0.9181743631028377j)
156,56,0.8451,(0.0016013610519828051+3.083191464449488e-05j),(0.7325648701062164+0.6806962016275729j)
157,57,0.8654,(-0.0008324116303876575+0.001225358624195465j),(0.8528598467241676-0.5221377048215631j)
158,58,0.9372,(-0.0008532430402538112-0.001635259274137314j),(-0.3396641582793591-0.940544583224232j)
159,59,0.9367,(0.0023457215231212003-0.0005002485376505734j),(-0.9804943321959853+0.1965298432224918j)
160,60,1.0112,(0.000898506576104479+0.0023004644500993127j),(0.10509759140898475+0.9944582920889359j)
161,61,1.0047,(-0.0020964150165200856+4.585357951225701e-05j),(0.9979303679749918-0.06426067778663486j)
162,62,1.0708,(0.0022834146713064016-0.003601665941286443j),(-0.06854787709081742-0.9976382180889232j)
163,63,1.1347,(0.003581554954305705-0.0015833696384540913j),(-0.9853087287493146+0.1707355608698142j)
164,64,1.1384,(-0.0003734170590515876+0.0035155215854099538j),(0.3200438214910512+0.9473959066143721j)
165,65,1.22,(-0.003468078776913478+0.0011065691470084846j),(0.8552373736486222-0.5182241158142897j)
166,66,1.3005,(-0.0021905915849429534-0.0015983487734708907j),(-0.7750448925922858-0.6319020055411522j)
167,67,1.308,(0.0007506039583118456-0.001333889850231571j),(-0.27181144883925956+0.9623511776193145j)
168,68,1.3841,(0.0013332273470864269+0.0009914808586066856j),(0.9806683820901073-0.19568075717069897j)
169,69,1.3936,(-1.4752842345617749e-05+0.0016707504833937442j),(-0.669910343396903-0.742441898506141j)
170,70,1.3982,(-0.0015219747715105273+0.0009460086258866727j),(-0.2848729754396711+0.9585639175708945j)
171,71,1.3984,(-0.0019540070976963235-0.0009139345386830093j),(0.9657163219234632-0.2595913957331479j)
172,72,1.3952,(-0.0007262549653503044-0.001762893466158087j),(-0.7255232229164298-0.6881966253239511j)
173,73,1.3939,(0.00011438564041144308-0.0009294298128152965j),(-0.21160876538814885+0.9773560892830856j)
174,74,1.3159,(-4.662090491913153e-05+0.000346647969151605j),(0.9631509535363982-0.26896848937038964j)
175,75,1.3138,(-0.000812431665715238-0.0006607917191740238j),(-0.6420243127536426-0.7666852843453524j)
176,76,1.31,(-0.00023172058026968973-0.001797512253576109j),(-0.437955722898748+0.8989952304477812j)
177,77,1.2338,(-5.313664974547408e-06-0.0040145574186923865j),(0.9956015526334377+0.09360148782930076j)
178,78,1.2274,(0.0029674140125634813-0.004690552317521794j),(-0.2018160686542941-0.97940761488411j)
179,79,1.2286,(0.008168450575545029-9.725565039445889e-05j),(-0.8793551369045504+0.47609693574685635j)
180,80,1.1643,(0.0049248423181315875+0.006318936925457939j),(0.675251324552765+0.7375450429558063j)
181,81,1.1505,(-0.006569535299710689+0.004418790405107215j),(0.6000906167659124-0.7998940808042667j)
182,82,1.0658,(-0.0054256391913679305-0.006294039645793724j),(-0.8614601436837128-0.507759380616978j)
183,83,1.0542,(0.007122588026446361-0.005957679976032953j),(-0.474656072211493+0.8801237042167006j)
184,84,1.0458,(0.0070450596164251264+0.0055574788074165245j),(0.8907417438425121+0.4544238601908436j)
185,85,0.9574,(-0.003090715261362611+0.005955615801365893j),(0.4989642099478169-0.8665977709804218j)
186,86,0.9496,(-0.0027665376972376473-0.0037134345249483555j),(-0.7984581066576423-0.6020337378114539j)
187,87,0.9483,(0.002601934211778129-0.0015808989335955859j),(-0.7008429669256776+0.7133096434366172j)
188,88,0.9422,(-0.000537318714474826+0.003339906316606269j),(0.6115805964374985+0.7911749866696358j)
189,89,0.8669,(-0.0033178064350464194-0.0006584687815357266j),(0.8960077307484956-0.44402460972339247j)
190,90,0.8615,(0.0011547543717969795-0.0030567584482409788j),(-0.1995758621091957-0.979876137645332j)
191,91,0.8513485000000001,(0.0026287568135423857+0.0018235246100273708j),(-0.9976759247838859-0.06805066770129417j)
192,92,0.850928125,(-0.002874899393500396+0.002151092747254153j),(-0.3364995359123049+0.9416762771361201j)
193,93,0.8519151250000001,(-0.0017171481280616777-0.003371429644452291j),(0.8151276350471567+0.579269244186164j)
194,94,0.841809125,(0.0035975885256701095-0.0009438335968464361j),(0.7829417291585646-0.6220852264493418j)
195,95,0.762405875,(-0.00047128522730342185+0.003678897664030047j),(-0.31635255463007866-0.9486359058814331j)
196,96,0.74540325,(-0.003140038247934973-0.0019551968593945752j),(-0.9949239187964385-0.10057658549420964j)
197,97,0.71980275,(0.0034202083563214195-0.0019153298068956446j),(-0.5275464968655605+0.8495179198351179j)
198,98,0.7160071250000001,(0.00039705932474894703+0.003833867760233203j),(0.5122624941373783+0.8588197833210376j)
199,99,0.722321125,(-0.003864265091800673-0.0019284239212232284j),(0.998039596196535-0.062421715299098526j)
200,100,0.0,0j,0j
